cell_id,group
aaelkkjk-1,Tumor1
aaellkab-1,Tumor1
aaelmlok-1,Tumor1
aaelofek-1,Tumor1
aaelofgh-1,Tumor1
aaemaeia-1,Tumor1
aaembcdl-1,Tumor3
aaembegh-1,Tumor1
aaembgof-1,Tumor1
aaemcaak-1,Tumor3
aaemcmhf-1,Tumor3
aaemhmgj-1,Tumor1
aaemlamp-1,Tumor1
aaemlfde-1,Tumor1
aaemmhgm-1,Tumor1
aaemnpil-1,Tumor1
aaemonph-1,Tumor1
aaempfmf-1,Tumor1
aaempneg-1,Tumor1
aaengdof-1,Tumor1
aaenhaii-1,Tumor1
aaenibhk-1,Tumor1
aaenicgl-1,Tumor1
aaenldpn-1,Tumor1
aaenncmn-1,Tumor1
aaenobec-1,Tumor1
aaenoepl-1,Tumor1
aaenojak-1,Tumor1
aaenojjo-1,Tumor3
aaenpbod-1,Tumor1
aaenpkdn-1,Tumor1
aaeoafbh-1,Tumor1
aaeoaokg-1,Tumor2
aaeoaphh-1,Tumor3
aaeoepmh-1,Tumor1
aaeohcee-1,Tumor1
aaeoigfo-1,Tumor1
aaeoikcf-1,Tumor3
aaeojcdo-1,Tumor1
aaeolkld-1,Tumor1
aaeonhhn-1,Tumor1
aaepadfj-1,Tumor1
aaepamne-1,Tumor1
aaepgnoa-1,Tumor3
aaepjaph-1,Tumor1
aaeplckd-1,Tumor3
aaeplcol-1,Tumor1
aaepobeh-1,Tumor1
aaepohej-1,Tumor1
aafabafn-1,Tumor1
aafaddjf-1,Tumor1
aafagjhk-1,Tumor1
aafahcnm-1,Tumor1
aafahopg-1,Tumor1
aafainha-1,Tumor1
aafakbdi-1,Tumor1
aafalcng-1,Tumor1
aafanbde-1,Tumor1
aafaolme-1,Tumor1
aafaphlp-1,Tumor1
aafbdeka-1,Tumor1
aafbgjab-1,Tumor1
aafbhjna-1,Tumor2
aafbicfa-1,Tumor3
aafbmagb-1,Tumor1
aafbnboo-1,Tumor3
aafbngln-1,Tumor3
aafcepfj-1,Tumor1
aafchiaf-1,Tumor1
aafcidod-1,Tumor1
aafcieif-1,Tumor1
aafcjbpn-1,Tumor3
aafcladl-1,Tumor3
aafclbna-1,Tumor1
aafcmeim-1,Tumor1
aafcmnae-1,Tumor1
aafcogaf-1,Tumor1
aafdbncc-1,Tumor1
aafdbpni-1,Tumor1
aafddnem-1,Tumor1
aafdgdjf-1,Tumor1
aafdibhe-1,Tumor1
aafdogje-1,Tumor1
aafdolkl-1,Tumor1
aafeeoia-1,Tumor3
aafeepfl-1,Tumor3
aafefpdb-1,Tumor1
aafeildb-1,Tumor1
aafeiogh-1,Tumor1
aafeldmh-1,Tumor1
aafemdhc-1,Tumor1
aafemmlo-1,Tumor1
aafemoln-1,Tumor1
aaffdaca-1,Tumor1
aaffecjb-1,Tumor1
aaffelhe-1,Tumor1
aaffgano-1,Tumor1
aaffjlag-1,Tumor3
aaffnggn-1,Tumor1
aaffoljm-1,Tumor1
aaffonnb-1,Tumor1
aafgaehb-1,Tumor1
aafgaeoe-1,Tumor1
aafgcdpc-1,Tumor1
aafgdnnj-1,Tumor1
aafgekei-1,Tumor3
aafgophh-1,Tumor1
aafgpllp-1,Tumor3
aafhdbpa-1,Tumor1
aafhdljn-1,Tumor3
aafhfmol-1,Tumor1
aafhhccc-1,Tumor1
aafhipch-1,Tumor1
aafhjgol-1,Tumor1
aafhkcig-1,Tumor1
aafiaphp-1,Tumor1
aafibehc-1,Tumor1
aaficdfg-1,Tumor1
aafienjd-1,Tumor1
aafilibk-1,Tumor1
aafilpmd-1,Tumor1
aafimmhk-1,Tumor3
aafiplck-1,Tumor1
aafjdjpb-1,Tumor1
aafjepnf-1,Tumor1
aafjfhka-1,Tumor3
aafjfmln-1,Tumor1
aafjnble-1,Tumor1
aafkbmfn-1,Tumor1
aafkcnik-1,Tumor1
aafkefid-1,Tumor3
aafkflee-1,Tumor1
aafkgbph-1,Tumor1
aafkibia-1,Tumor3
aafkifig-1,Tumor1
aafkjico-1,Tumor1
aafkkheb-1,Tumor1
aafkmabk-1,Tumor1
aafknand-1,Tumor3
aafkogja-1,Tumor1
aaflbhag-1,Tumor3
aaflehll-1,Tumor1
aafleome-1,Tumor1
aaflhnao-1,Tumor1
aaflkjfn-1,Tumor1
aafllhim-1,Tumor1
aaflojon-1,Tumor1
aaflomba-1,Tumor1
aafmdhip-1,Tumor1
aafmeiod-1,Tumor1
aafmgdei-1,Tumor1
aafmigbd-1,Tumor1
aafmkhdd-1,Tumor1
aafmkhfd-1,Tumor1
aafmklkn-1,Tumor1
aafmlcei-1,Tumor3
aafmopgc-1,Tumor1
aafmphpa-1,Tumor1
aafnaneg-1,Tumor3
aafncedi-1,Tumor1
aafnckje-1,Tumor1
aafndhee-1,Tumor1
aafnhnde-1,Tumor1
aafnhnkj-1,Tumor1
aafnippf-1,Fibroblasts
aafnlajf-1,Tumor1
aafoakhp-1,Tumor1
aafockkg-1,Tumor1
aafoclab-1,Tumor1
aafocnga-1,Tumor1
aafodfob-1,Tumor1
aafodjgo-1,Macrophages
aafoecgf-1,Tumor1
aafofglf-1,T Cells
aafogfaf-1,T Cells
aafojjpj-1,B Cells
aafojllb-1,Macrophages
aafokfgg-1,T Cells
aafoncac-1,Tumor1
aafoogik-1,Tumor2
aafopikp-1,Tumor1
