SYMBOL,Log2FC
PARVG,4.664613814648909
DENND2B,2.553920097885773
APOL3,4.764149488199823
PIK3CD,3.9865419095362693
TAMALIN,3.8636851617507375
CSF1,4.910990876529095
DOCK8,4.1430463952162615
PPP1R18,2.7766188401620395
ATP6V0D2,5.089352715120045
DACT1,3.4868921825424852
TNS1,2.858698089
SNX10,2.9771432115340204
KIF26B,4.102019126956207
SLC6A6,2.9073716961026626
GM2A,2.999365949893854
AQP9,5.144971272140754
LRRC25,4.261819911
ABCC9,3.7344429813836326
GLIPR1,3.5264165207288887
RGS10,2.8562338871905397
HHEX,4.741429411699739
BNC2,4.195995275
ADAMTS10,5.203772626
UTRN,2.748053802010991
WAS,4.680028867035596
DSE,3.429060145237221
TRBC1,4.076739718507849
PSTPIP1,5.378859332315031
RHOBTB3,3.5170566262350507
HAPLN3,3.1564669109785823
CH25H,5.226856238869981
RASL12,3.9113544131420515
DOK6,5.018963387228647
SMARCD3,3.8590810003540126
MYO1G,4.053373418014479
COPZ2,3.970053786747701
FHL2,2.904079749344298
PLEKHG2,3.2452761779364385
LAMA2,4.533030262442791
HAPLN1,5.243929752228922
S100A8,4.4117239662206575
HOXB2,3.6688016116123414
SCIMP,4.729045687243906
MNDA,4.584801232870885
FAM167B,3.9803099558247554
PDE8B,4.461321492507004
PDLIM2,3.390391728182656
COL7A1,3.0681803785606276
LAT2,3.5572905510377266
ADAMTS1,2.859370669071156
CPED1,3.3579901402674315
TM4SF18,3.675127041331584
EVC2,5.378859332315032
HIC1,4.571504410257427
LZTS1,4.793896831593875
TSPAN11,4.293970434728519
FLNA,2.4645892063409143
TMEM140,4.548045437433438
MYCT1,5.541130761213908
ST3GAL6,4.551326528319796
HHIP,5.308470004423633
NLRC4,5.004463817533534
SH3PXD2A,2.5855453487351228
MYO5A,3.8846622955170558
IGSF21,4.869184958898112
AGPAT4,4.323576896813842
ISG15,2.624062860535597
GABRD,5.074004751
PAMR1,4.767901623
SPOCD1,3.9125413280924946
RUNX1,2.558353042606121
MX1,2.6904454829809343
OLFML2B,2.7531112167473744
SPN,4.591403967695132
GRK5,3.2643229007392502
SALL1,4.597039502364565
BMP4,2.7199721036184448
JAG1,2.735416384069142
CYP7B1,3.7878223171841903
LSAMP,3.658967251507767
SLC36A1,3.6402171603414413
SDS,5.004463817533534
CCL2,4.205710429998432
SNX24,3.571504410257427
GRB10,2.9865419095362706
EMID1,3.1278977587818115
KLF12,3.725309746336463
GZMA,4.658967251507766
ADGRL3,4.183688379713606
CLEC4A,3.9080298813577468
TRPC4,5.31873834
CNTN4,5.773138271427078
APBA2,4.812512509761221
MAP1B,2.9516471190900853
TIE1,4.497503828813651
OAS2,2.668306843254363
APOL4,4.134440604648583
QKI,2.4996114917756413
FAM171B,4.156466910978584
MAN1C1,3.2344694229798563
CCL8,4.9683945628260116
ADGRE2,3.7543684674072377
KCNS3,4.092336573558868
COL13A1,5.675841070072163
